HLCL-0|keep going if you are scared keep going
HLCL-1658|entrenched Notions of human value and opening doors of opportunity that had previously been sealed shut to Millions made it that much more thrilling and meaningful
HLCL-1659|I know that for a lot of people including a lot of women
HLCL-1660|the movement for women's equality exists largely in the past that it's still happening still as urgent and vital as ever
HLCL-1661|and it was and is the Story of My Life mine and millions of other women's we share it we wrote it together we're still riding
HLCL-1662|and even though this isn't something women are supposed to do I haven't just been a participant in this revolution has helped lead it
HLCL-1663|I was one of just 27 women out of 235 students in my class at Yale Law School
HLCL-1664|the first woman partner at the oldest law firm in Arkansas the first woman to chair the national board of the Legal Services Corporation
HLCL-1665|the person who declared on the world stage that human rights are women's rights and women's rights are human rights
HLCL-1666|the first first lady to be elected to public office the first woman senator from New York in fact for a few weeks I was both
HLCL-1667|by a quirk of the calendar I was sworn in before Bill left office
HLCL-1668|and I was the first woman to be nominated for president by a major political party and win the national popular vote
HLCL-1669|I never figured out how to tell this story right partly that's because I'm not talking about myself also I didn't want people to see me as quote woman candidate on quote which I find limiting but rather as the best candidate whose experience as a woman in a male-dominated culture
HLCL-1670|made her sharper tougher and more confident
HLCL-1671|that's a hard distinction to draw and I wasn't confident that I have the dexterity to pull it off
HLCL-1672|but the biggest reason I shied away from embracing this narrative
HLCL-1673|is that storytelling requires a receptive audience and I've never felt like the American electorate was receptive to this one
HLCL-1674|I wish so badly we were a country where a candidate who said my story is a story of a life shaped by and devoted to the movement for women's Liberation would be cheered not Jared
HLCL-1675|but that's not who we are not yet
HLCL-1676|maybe it's because we take this story for granted yeah yeah the women's movement happened why are we still talking about it maybe it's two female maybe it's at once too big a sweeping historical shift
HLCL-1677|and too small just another middle-class Midwestern girl finding her way in the world
HLCL-1678|I do think it's special it's not a typical political narrative but it's mine
HLCL-1679|this has to be said sexism and misogyny played a role in the 2016 presidential election
HLCL-1680|exhibit is that the flagrantly sexist candidate won
HLCL-1681|a whole lot of people listened to the tape of him bragging about sexually assaulting women Shrugged and said he still gets my vote
HLCL-1682|but Donald Trump didn't invent sexism and its impact on our politics goes far beyond this one election
HLCL-1683|it's like a planet that astronomers haven't precisely located yet but know exist because they can see its impact on other planets orbits
HLCL-1684|gravity's sexism exerts its pull on our politics and our society everyday in ways both subtle and crystal-clear
HLCL-1685|I know she run terminology others might have a different view but here's how I see the distinction between sexism and misogyny
HLCL-1686|husband tells his wife I can't quite explain why and I don't even like admitting this but I don't want you to make more money than me so please don't take that amazing job offer
HLCL-1687|that's sexism he could still love her deeply and be a great partner in countless ways but he holds tight to an idea that even he knows isn't fair about how successful a woman is allowed to be
HLCL-1688|sexism is all the big and little ways that Society draws a box around women and says
HLCL-1689|you stay in there
HLCL-1690|don't complain because nice girls don't do that
HLCL-1691|don't try to be something women shouldn't be don't wear that don't go there don't think that don't learn too much
HLCL-1692|it's not right somehow we can't explain why stop asking
HLCL-1693|we can do sexism from time to time often without even noticing it
HLCL-1694|most of us try to keep an eye out for those moments and avoid them or when we do misstep apologize and do better next time
HLCL-1695|misogyny is something darker its rage disgust hatred
HLCL-1696|it's what happens when a woman turns down a guy at a bar and he switches from Charming to scary
HLCL-1697|or when a woman gets a job that a man wanted and instead of shaking her hand and wishing her well he calls her a b**** and Val
HLCL-1698|do everything he can to make sure she fails
HLCL-1699|both sexism and misogyny are endemic in America
HLCL-1700|if you need convincing just look at the YouTube comments or Twitter replies when a woman dares to voice a political opinion or even just share an anecdote from her own lived experience
HLCL-1701|people hiding in the shadows step forward just far enough to rip her apart
HLCL-1702|sexism in particular can be so pervasive we stop seeing it
HLCL-1703|it reminds me of the opening anecdote from author David Foster Wallace's 2005 commencement speech at Kenyon College
HLCL-1704|two young fish are swimming along they meet an older fish swimming the other way who nods at them and says morning boys how's the water
HLCL-1705|the two young fish swim on for a bit until
HLCL-1706|looks at the other end asks what's water
HLCL-1707|in other words Wallace said the most obvious realities are often the ones that are the hardest to see and talk about
HLCL-1708|I'd say that sums up the problem of recognizing sexism especially when it comes to politics quite nicely
HLCL-1709|it's not easy to be a woman in politics
HLCL-1710|that's an understatement it can be excruciatingly humiliating
HLCL-1711|the moment a woman steps forward and says I'm running for office it begins
HLCL-1712|analysis ever face her body her voice her demeanor the diminishment of her stature her ideas her accomplishments her integrity
HLCL-1713|it can be unbelievably cruel
HLCL-1714|I hesitate to write this because I know that women who should run for office my hear it and say
HLCL-1715|thanks and I passionately believe that the only way we're going to get sexism out of politics is by getting more women into politics
HLCL-1716|I can't think of a single woman and politics who doesn't have stories to tell not one
HLCL-1717|for the record it hurts to be torn apart
HLCL-1718|it may seem like it doesn't bother me to be called terrible names or have my look smocked viciously but it does
HLCL-1719|I'm used to it I've grown what Eleanor Roosevelt said women and politics need a skin as thick as a rhinoceros hide
HLCL-1720|plus I've always had a healthy self-esteem thanks no doubt to my parents who never once told me that I had to worry about being prettier or thinner
HLCL-1721|I was great exactly how I was
HLCL-1722|I don't know what magic they performed to make that stick in my head
HLCL-1723|all these years I wish I did so that parents everywhere could learn the trick
HLCL-1724|all I know is I've been far less plagued by self-doubt that a lot of women I know
HLCL-1725|and yet it hurts to be torn apart
HLCL-1726|it didn't start with running for office when I got glasses in the fourth grade later in life I was dubbed For Eyes it wasn't the most original taunt but it's done
HLCL-1727|in junior high a few unkind schoolmates notice the lack of ankles on my sturdy legs and did their best to embarrass me
HLCL-1728|I did talk to my mom about that one she told me to ignore it to rise above to be better
HLCL-1729|that advice prepared me well for a barrage of insults later on
HLCL-1730|at College I was spared some of the hostility many young women face because I
HLCL-1731|Wellesley being at a women's college offered me the freedom to take risks make mistakes and even fail without making me question my fundamental worth
HLCL-1732|it also gave me opportunities to lead that I wouldn't have had a co-ed college at that time
HLCL-1733|but once I left Wellesley things changed
HLCL-1734|my friend and I went to take the admissions test in 1968
HLCL-1735|we were among the only women in the room
HLCL-1736|we were waiting for the test to start when a group of young men started harassing us you don't need to be here why don't you go home and get married
HLCL-1737|one said if you take my spot at law school I'll get drafted and I'll go to Vietnam and I'll die
HLCL-1738|it was intense and personal
HLCL-1739|I just kept my eyes down hoping the Proctor would come to start the test trying hard
HLCL-1740|let them rattle me there was a professor at Harvard Law School and eager college senior recently offered admission and said
HLCL-1741|we don't need any more women at Harvard
HLCL-1742|that's part of why I went to jail
HLCL-1743|when I started out as an attorney I would take cases and small rural courthouses in Arkansas and people would come to watch the lady lawyer it was such a novelty
HLCL-1744|you could hear them commenting from the gallery on what I was wearing and how my hair look
HLCL-1745|one time in the early 1980s I was trying a case in Batesville Arkansas and in the middle of the trial in walked six men in full camouflage
HLCL-1746|they came in and sat right behind the lawyers and just stared hard at me
HLCL-1747|as any woman who's experienced that kind of staring nose was truly an
HLCL-1748|afterward the bailiff explained that it was deer season and these Hunters had come into town from their camp for supplies when they heard that a woman was trying a case in court they had to see it for themselves
HLCL-1749|I thought of that a few years later when a woman doctor came to Arkansas from California to be an expert witness in a trial for my firm
HLCL-1750|short spiky hair my boss the lead attorney on the case told her to go buy a wig
HLCL-1751|otherwise he said the jurors wouldn't be able to hear what she had to say
HLCL-1752|they'd be too focused on how she didn't look like a normal woman
HLCL-1753|I remember had taken aback she was at this request I would have been to not so long before but by then I wasn't
HLCL-1754|that saddens me I'd become used to a narrower set of expectations
HLCL-1755|what's Bill enter Politics the spotlight on me was glaring and often unkind
HLCL-1756|I've written about this before but it's worth saying again one of the reasons he lost the governor's race in 1980 was because I still went by my maiden name
HLCL-1757|let that sink in for a moment and please imagine how it felt
HLCL-1758|I was naive would tear maybe people would even respect what it said about our marriage that I wanted to preserve my pre Bill identity that I was proud of my parents and wanted to honor them that bill supported my choices
HLCL-1759|we lost and I heard over and over that my name my name had played a part I was heartsick that I might have inadvertently hurt my husband and let down his team
HLCL-1760|and I question whether there was room in public life for women like
HLCL-1761|who might appear slightly unconventional but still had so much to offer
HLCL-1762|so I added Clinton to Hillary
HLCL-1763|I asked my friends for hair makeup and clothing advice that's never come easily to me and until then I didn't care
HLCL-1764|but if wearing contact lenses or changing my wardrobe would make people feel more comfortable around me I'd try it
HLCL-1765|later when Bill was running for president for the first time I stumbled again
HLCL-1766|I now have the right name or makeup style my hair
HLCL-1767|but I hadn't changed my tongue opponent in the primary
HLCL-1768|this really got under my skin I suppose I could have stayed home and baked cookies and had teased I told the press and exasperation
HLCL-1769|but what I decided to do was pursue my profession
HLCL-1770|that didn't the middle of a full-blown political Firestorm with self-righteous Morales saying I had insulted American mothers
HLCL-1771|as someone who believes in supporting mothers Fathers and Families of all times this hurt
HLCL-1772|and once again I feared that my pursuit of my individual dreams in this case my career which meant so much to me would end up hurting my husband
HLCL-1773|none of these experiences made me Retreat from my beliefs
HLCL-1774|but I've never really been naive again not much surprises me anymore
HLCL-1775|throughout the 2016 campaign my staff would come to me wide-eyed you'll never believe what Trump said today it was vile
HLCL-1776|I always believed it not just because of who Trump is but because if we can be at our
HLCL-1777|we've seen it too many times to be surprised
HLCL-1778|in my experience The Balancing Act women and politics have to master is challenging at every level
HLCL-1779|but it gets worse the higher you rise
HLCL-1780|if we're too tough unlikable if we're too soft we're not cut out for the big leagues
HLCL-1781|if we work too hard or neglecting our families if we put Family First we're not serious about the work
HLCL-1782|if we have a career but no children there's something wrong with us and vice versa
HLCL-1783|if we want to compete for a higher office we're too ambitious can't we just be happy with what we have can't we leave the higher rungs on the ladder for men
HLCL-1784|think how often you've heard these words used about women who lead
HLCL-1785|angry strident feisty difficult irritable bossy brassy emotional abrasive high-maintenance and vicious
HLCL-1786|a word that I think of is neutral he's an admirable but clearly isn't for a lot of people
HLCL-1787|the linguist George lakoff both identify this problem and embodied it when he said about Senator Elizabeth Warren
HLCL-1788|Elizabeth has a problem she is shrill and there is a prejudice against shrill women
HLCL-1789|how about we stop criticizing how she speaks which is just fine by the way and start paying attention to what she has to say about families and the economy
HLCL-1790|we're also called divisive untrustworthy unlikable and inauthentic
HLCL-1791|those words ring powerfully for me
HLCL-1792|as the campaign went on a show that a significant number of Americans questioned my authenticity and trustworthiness
HLCL-1793|a lot of people said they just didn't like me I write that matter-of-factly but believe me it's devastating
HLCL-1794|some of this is a direct result of my actions I've made mistakes and defensive about them stubbornly resisted apologizing
HLCL-1795|but so have most men in politics
HLCL-1796|in fact one of them just became president with a strategy of never apologize when you're wrong just attack harder
HLCL-1797|I've been called divisive more times than I can count for the life of me I can't understand why
HLCL-1798|politics is a divisive business it's true and our country has gotten more polarized with every passing year
HLCL-1799|but what specifically did I do that was so unacceptable
HLCL-1800|run for office lots of men do
HLCL-1801|work on Healthcare one of the most contentious issues in America
HLCL-1802|cast votes of a senator so did my 99 colleagues
HLCL-1803|when it comes to some of my most controversial actions like my vote giving President Bush the authority to go to war in Iraq I was far from alone
HLCL-1804|that doesn't make it right but it also doesn't explain the Venom targeted at me specifically
HLCL-1805|why am I seeing as such a divisive figure and say Joe Biden and John Kerry aren't
HLCL-1806|they've run for president they've served at high levels of government they've cast votes of all kinds including someday regret just like me
HLCL-1807|what makes me such a lightning rod for Fury
HLCL-1808|I'm really asking I'm at a loss
HLCL-1809|I know some of the distrust people feel toward me is be
HLCL-1810|they watched as I've been sucked into partisan investigations over the years water travelgate emails at significant taxpayer expense
HLCL-1811|but I think there's another explanation for the skepticism I've faced in public life I think it's partly because I'm a woman
HLCL-1812|hear me out historical women haven't been the ones riding or leading the armies and navies
HLCL-1813|we're not the ones up there behind the podium rallying crowd uniting the country it's men who laid its men who speak it's man who represent us to the world and even to ourselves
HLCL-1814|that's been the case for so long that it has infiltrated our deepest thoughts
HLCL-1815|I suspect that for many of us more than we might think
HLCL-1816|it feels somehow off to picture a woman president sitting in the Oval Office or The Situation Room
HLCL-1817|it's discordant to tune into a political rally and hear a woman's voice booming screaming screeching for it
HLCL-1818|even the simple Act of a woman standing up and speaking to a crowd is relatively new
HLCL-1819|think about it we know of only a handful of speeches by women before the latter half of the 20th century
HLCL-1820|and those tend to be by women in extreme and desperate situations
HLCL-1821|Joan of arc's had a lot of interesting things before they burned her at the stake
HLCL-1822|meanwhile when a woman lands a political punch and not even a particularly hard one
HLCL-1823|it's not red is the normal sparring that men do all the time in politics
HLCL-1824|it makes her a nasty woman
HLCL-1825|a lot of women have had that spat in their faces and worse
HLCL-1826|for saying not that much at all God forbid to women have a disagreement in public then it's a catfight
HLCL-1827|insured it's not customary to have women lead or even to engage in the rough-and-tumble of politics
HLCL-1828|it's not normal not yet
HLCL-1829|so when it happens it often doesn't feel quite right
HLCL-1830|that may sound vague but it's potent people cast their votes based on feelings like that all the time
HLCL-1831|I think this question of rightness is connected to another powerful but undefinable forest in politics authenticity
HLCL-1832|I've been asked over and over again by reporters and skeptical voters who are you
HLCL-1833|is it kind of funny question when you think about it
HLCL-1834|I'm Hillary you've seen me in the papers and on your screens for more than 25 years I'll bet you know more about my private life than you do about some of your closest friends
HLCL-1835|you read my emails for heaven's sakes what more do you need
HLCL-1836|what could I do to be more real
HLCL-1837|dance on a table swear a Blue Streak breakdown sobbing
HLCL-1838|that's not me and if I have done any of those things what would have happened I'd have been ripped to pieces
HLCL-1839|again I wonder what it is about me that mystifies people
HLCL-1840|when there are so many men in politics who are far less scrutinized interviewed photographed intestine
HLCL-1841|yeah they're asked so much less frequently to open up reveal themselves prove that they're real
HLCL-1842|this has to do with my composure
HLCL-1843|people say I'm guarded and they have a point
HLCL-1844|I think before I speak I don't just blurt out whatever comes to mind
HLCL-1845|It's a combination of my natural inclination plus my training as a lawyer plus decades in the public eye every word I say is scrutinized
HLCL-1846|why is this a bad thing don't we want our Senators and secretaries of state and especially our presidents to speak thoughtfully to respect the impact of our words
HLCL-1847|President Obama is just as controlled as I am maybe even more so
HLCL-1848|he speaks with a great deal of care takes his time ways his words
HLCL-1849|this is generally and correctly taken as evidence of his intellectual heft and rigor
HLCL-1850|he's a serious person talking about serious things
HLCL-1851|so am I and yet for me it's often experienced as a negative
HLCL-1852|even some fair-minded people who want to like me feel that there's something to controlled about how I speak
HLCL-1853|often it's just about finding the right words
HLCL-1854|and impulsive doesn't mean the same thing as truthful
HLCL-1855|just look at Donald Trump still there's no denying that my cautiousness has had the effect of making some people feel like they weren't getting the unvarnished
HLCL-1856|which in turn prompted the question what is she hiding
HLCL-1857|this frustrated me to no end and I never figured out how to solve it I'm not sure there was a solution
HLCL-1858|it's another variant on the impossible Balancing Act
HLCL-1859|if we're too composed recalled or fake
HLCL-1860|but if we say what we think without caution we get slammed for it
HLCL-1861|can you blame us for feeling like we can't win no matter what we do
HLCL-1862|consider another emotional act crying
HLCL-1863|I can think of many male politicians who have teared up from time to time
HLCL-1864|some have been mocked for it Senator Ed muskies political career was all but scuttled by his tears in the 1972 New Hampshire primary
HLCL-1865|even though it may have just been snow blowing in his eyes
HLCL-1866|but many men have been treated with compassion and even admiration for their displays of emotion
HLCL-1867|Ronald Reagan George h.w. Bush my husband George W bush Barack Obama that moments of high sentiment
HLCL-1868|that makes sense because they are humans and sometimes humans cry
HLCL-1869|but when a woman cries it can be viewed far less charitable
HLCL-1870|I remember what happened to Pat Schroeder the talented and hilarious congresswoman from Colorado who considered running for president in 1987
HLCL-1871|she ultimately decided against it and when she held a press conference to announce that she cried for about 3 seconds
HLCL-1872|today when you type Pat Roeder into Google the very first suggestion is Pat Roeder crying
HLCL-1873|20 years later she was still receiving hate mail because of it mostly from women who felt like she let them.
HLCL-1874|I had my own stained tearful moment just before the New Hampshire Primary in 2008
HLCL-1875|I didn't even cry not really I was talking about running for office can be because it can be very tough
HLCL-1876|and my eyes glisten for a moment and my voice quavered for about one sentence
HLCL-1877|that was it it became the biggest news story in America
HLCL-1878|it will no doubt Merida line in my obituary someday
HLCL-1879|her eyes once watered on camera
HLCL-1880|interesting Lee many would say that my tears turned out to be a good thing for me
HLCL-1881|dozens if not hundreds of pundits have commented about how that moment humanized me
HLCL-1882|maybe that's true if so I'm both fine with that and a little bit at the reminder that yet again required humanizing at all
HLCL-1883|still some sought to capitalize on my perceived vulnerability in the press and on the campaign Trail
HLCL-1884|when he was asked about my tears
HLCL-1885|Senator John Edwards of North Carolina still in the presidential race at the time jumped at the chance to call me week
HLCL-1886|I think what we need in a commander and chief is strength and resolve he said
HLCL-1887|presidential campaigns are a tough business but being president of United States is also a very tough business and the president of the United States is faced with very very difficult challenges every single day and difficult judgements every single day
HLCL-1888|what I know is that I'm prepared for that
HLCL-1889|shortly after he dropped out
HLCL-1890|in any case this whole topic of being real
HLCL-1891|can feel very silly I wish we could just dismiss it and go about our business being whoever we are without worrying about whether we are satisfying some indefinable standard of realness
HLCL-1892|Nigerian author chimamanda ngozi adichie rights
HLCL-1893|it's not your job to be likable it's your job to be yourself
HLCL-1894|yet the issues of authenticity and likeability have an impact on the most consequential election of our lifetime
HLCL-1895|and it will have an impact on future ones so there's something extremely serious going on here too
HLCL-1896|especially since crude abusive fat-free rhetoric was characterized as authentic in 2016
HLCL-1897|I tried to adjust after hearing repeatedly that some people didn't like my voice I Enlisted the help of a linguistic expert
HLCL-1898|he said I needed to focus on my deep-breathing and try to keep something happy and peaceful in mind when I went on stage
HLCL-1899|that way when the proud energized and started shouting
HLCL-1900|Woods at Rally's 10 to do I could resist doing the normal thing
HLCL-1901|content but not
HLCL-1902|okay I told this expert I'm game to try
HLCL-1903|but out of curiosity can you give me an example of a woman public life
HLCL-1904|the energy while keeping her voice soft and low
HLCL-1905|he could not I'm not sure how to solve all this my gender is my gender my voice is my voice
HLCL-1906|the quote Secretary of Labor Frances Perkins the first woman to serve in the u.s. cabinet under f.d.r.
HLCL-1907|the accusation that I'm a woman is incontrovertible
HLCL-1908|other women will run for president and they will be women and they will have women's voices Maybe
HLCL-1909|will be less unusual by then maybe my campaign will have helped make it that way and other women will have an easier time I hope so
HLCL-1910|near the start of my campaign I met with my friend Sheryl Sandberg the Chief Operating Officer of Facebook who has thought about these issues a great deal
HLCL-1911|she told me that if there was one thing she wanted everyone to know from her book lean in women work and the will to lead its this
HLCL-1912|the data shows that four men likability and professional success are correlated
HLCL-1913|the more successful man is the more people like him
HLCL-1914|with women it's the exact opposite
HLCL-1915|the more professionally successful we are the less people like us
HLCL-1916|curing it put that simply with data behind it
HLCL-1917|like a light turning on here was proof of something so many women have felt intuitively throughout our lives
HLCL-1918|Cheryl shared another inside
HLCL-1919|women are seen favorably when they advocate for others but unfavorably when they advocate for themselves
HLCL-1920|for example there's virtually no downside to asking for a raise if you're a man
HLCL-1921|you'll either get it or you won't but either way you won't be penalized for trying
HLCL-1922|a woman who does the same is more likely to pay a price
HLCL-1923|even if she gets a salary bump she lose a measure of Goodwill
HLCL-1924|the exception is when a woman asks for a raise on someone else's behalf
HLCL-1925|then she seen as generous and a team player
HLCL-1926|this to resonated with me
HLCL-1927|people like me when I'm in a supporting role
HLCL-1928|campaigning for my husband serving as a member of President Obama's cabinet
HLCL-1929|it's okay for me to be a fierce advocate in those capacities
HLCL-1930|but when I stand up and say now I'd like a chance to lead Everything Changes
HLCL-1931|you have a steep mountain to climb Cheryl warned that day they will have no empathy for you
HLCL-1932|it's not easy for any woman in politics but I think it's safe to say that I got a whole other level of vitriol swing my way
HLCL-1933|crowds at Trump rallies called for my imprisonment more times than I can count they shouted guilty guilty like the religious zealots in Game of Thrones chanting Shame Shame while Searcy
HLCL-1934|Lester walked back to the red keep has Susan Bordeaux a Pulitzer prize-nominated gender studies Professor put it in her book the destruction of Hillary Clinton
HLCL-1935|it was almost medieval Mary beard the classics professor at the University of Cambridge observed that this Venom hearken back to an even earlier time
HLCL-1936|one popular image among Trump supporters found on everything from t-shirts to coffee mugs depicted Trump holding up my severed head like Perseus from ancient Greek mythology lifting High the head of Medusa
HLCL-1937|what in the world was this I've been in politics for a long time but I was taken aback by the flood of hatred that seemed only to grow as we got closer to election day
HLCL-1938|I left the state department one of the most admired Publix
HLCL-1939|Benson America now people seem to think I was evil
HLCL-1940|not just not my cup of tea but evil
HLCL-1941|it was flabbergasting and frightening
HLCL-1942|was this all because I'm a woman
HLCL-1943|I believe it was motivation for some of those chanters and some of that vile
HLCL-1944|L I read interview with Margaret Atwood the prescient author of the handmaid's tale which put the campaign into yet another historical light
HLCL-1945|you can find websites that say Hillary was actually a Satanist with demonic Powers she said
HLCL-1946|it's so seventeenth-century that you can hardly believe it
HLCL-1947|the Puritan witch hunts may be long over but something fanatical about unruly women still lurks in our national subconscious
HLCL-1948|that doesn't just affect me and other candidates it affects our supporters
HLCL-1949|nearly 4 million people joined a Facebook group supporting my campaign fittingly called pantsuit Nation
HLCL-1950|it was a secret group it had to be
HLCL-1951|otherwise its members were exposing themselves to vicious sexist online harassment from both the right and the left
HLCL-1952|you can hardly open a newspaper these days without reading another Grimm story female Engineers reporting blatant harassment in Silicon Valley women entrepreneurs making pitches to investment firms and being propositioned in response
HLCL-1953|a new study finding that women are given a harder time than men in job interviews another finding that women are penalized when they declined to reveal their salary history will men end up making more
HLCL-1954|when they do the same that's why it's so maddening the basic fact that sexism is alive and well should still be up for debate
HLCL-1955|I can't count the number of times that good-hearted men who should know better dismissed the notion that sexism and misogyny are still potent forces in our national life
HLCL-1956|but things have changed they say as Donald Trump brags about groping women and a few weeks later wins the presidency
HLCL-1957|as his rally-goers chant Trump that b**** as a White House proudly releases photos of old white men gleefully deciding which Health Services to take away from women
HLCL-1958|and on that fundamental question of whether it would be good to see a woman any woman not just me become president the electorate is deeply depressingly divided
HLCL-1959|a2014 in Pew Research Center poll found that 69% of democratic women and 46% of democratic men not terrible but you can do better than that Democratic man said they hoped to see a female president in their lifetime
HLCL-1960|but only 20% of Republican women and only 16% of Republican men did
HLCL-1961|in 2008 researchers found that more than a quarter of the population expressed anger or upset feelings at the mere thought of a female president
HLCL-1962|after the 2016 election the diandy Blair Center of Southern politics and Society at the University of Arkansas put out a report on the impact of sexism on the race
HLCL-1963|researchers asked people to respond to five statements that reflect sexist thinking including seeking for women to have more power
HLCL-1964|end discrimination against women is no longer a problem in the United States
HLCL-1965|end results that surprised no one more than a third of respondents gave answers that were sexist
HLCL-1966|Trump voters were more sexist than Clinton voters Republicans were far more sexist than Democrats and not just men women were quite sexist to
HLCL-1967|on that note beginning even before I ran political commentators wondered whether I'd Inspire an unbeatable wave of women to come out and vote for me in the same way President Obama inspired record-breaking black turnout
HLCL-1968|I hoped I would of course but I had my doubts
HLCL-1969|gender hasn't proven to be the motivating force for Women Voters that some hope it might be
HLCL-1970|if it were we probably have had a woman president
HLCL-1971|don't you think in the end I want an overwhelming majority of the votes of black women 94% and Latino women 68%
HLCL-1972|Taiwan women overall by a safe margin 54%
HLCL-1973|but I failed to win a majority of white women although I did better with them than Obama did in 2012
HLCL-1974|yes things have changed some things are a lot better
HLCL-1975|but many are still bad and they are connected the bad is the backlash to the good
HLCL-1976|women's advancement has set into motion vast changes that Inspire intense feelings of all kinds some of us are exhilarated others feel a whole lot of rage
HLCL-1977|the good news and there is good news is that there's another side to all of this
HLCL-1978|it can also be deeply rewarding to be a woman in politics
HLCL-1979|you know that just by being in the room you're making government more representative of the people
HLCL-1980|you're bringing a vital perspective that would otherwise go unheard
HLCL-1981|that always made me stand up a little straighter
HLCL-1982|it's why I love the song the room where it happens from lin-manuel Miranda brilliant musical Hamilton
HLCL-1983|no one really knows how the game is played the art of the trade how the sausage gets made we just assume that it happens but no one else is in the room where it happens
HLCL-1984|it felt really good to be in a room where things happen the Oval Office the Senate chamber as an advocate for issues that matter to me education equal-pay Healthcare women's rights
HLCL-1985|maybe those issues would have been close to my heart even if I were a man but maybe not
HLCL-1986|eyes naturally pushed me in their Direction and Mom interested in policy off and ends up working on kids issues a first lady is often involved with women's issues that was okay with me some might have found it limited but I consider these real-life issues that affect us all
HLCL-1987|later I moved into different Realms working to rebuild New York after 9/11 as a HomeTown Senator supporting our troops and caring for our Wounded Warriors and all our vets as a member of the Senate armed services committee
HLCL-1988|keeping our country and World safe as US Secretary of State
HLCL-1989|I moved into different rooms The Situation Room for Ministries the United Nations and I found that the Decades of work I have done on women and families served me well in all those places because it meant that I understood the intricacies of people's lives
HLCL-1990|I knew how governments could help or hurt families I knew how to Marsh
HLCL-1991|resources and support to the people who needed it the most
HLCL-1992|it turned out that my work on so-called Women's and Children's issues prepared me well for nearly everything else I've ever done
HLCL-1993|I also believe the fact that I'm a woman is one reason why so many people open up to me about the details of their lives and Families
HLCL-1994|they tell me about their children's medical diagnosis their caregiving of Aging parents troubles in their marriages and families finances painful experiences with sexual harassment and discrimination
HLCL-1995|warm-hearted male politicians also receive these confessionals but from what I can see women hear them more often
HLCL-1996|maybe it's easier to cry in front of us maybe it feels like talking to a girlfriend
HLCL-1997|all I know is that a lot of people have grabbed my hand and told me they're worries and dreams and that's been a unique privilege
HLCL-1998|there's another thing that women confide in me about and that's stories of their reproductive health
HLCL-1999|no essay about women and politics could be complete without talking about this
HLCL-2000|it is such a central part of women's lives whether we become mothers and it what agent under what circumstances
HLCL-2001|reproductive health and all its complexity pregnancy fertility birth control miscarriage abortion labor birth
HLCL-2002|comprise some of the most joyful and terrifying moments we will ever experience
HLCL-2003|but a lot of the time we process these moments in silence
HLCL-2004|the stories go unspoken even among women
HLCL-2005|then I meet women at Rally's or dinners our fundraisers or just taking a walk and they take a deep breath and let it all out
HLCL-2006|at this moment in America more than 44 years since Roe v Wade women's access to birth control and abortion is still under constant threat
HLCL-2007|I saw the effectiveness in the 2016 election
HLCL-2008|reproductive Health was rarely mentioned in any of the primary debates and when it was mentioned it was often because I brought it up
HLCL-2009|I was just made when Bernie Sanders just miss Planned Parenthood as just another part of the establishment when they endorsed me over him
HLCL-2010|few organizations are as intimately connected to the day-to-day lives of Americans from all classes and backgrounds as planned parenthood and few are under more persistent attack
HLCL-2011|I'm not sure what establishment about that and I don't know why someone running to be the Democratic nominee for president would say so
HLCL-2012|after the election Bernie suggested the Democrats should be open to nominating and supporting candidates who are anti-choice
HLCL-2013|other topics such as economic Justice are sacrosanct but apparently women's health is not
HLCL-2014|I don't mean to criticize only for me hear a lot of progressive join him and thinking that Reproductive Rights are negotiable and to be clear I believe there's room in our party for a wide range of personal views on abortion
HLCL-2015|I've been working for a quarter-century with Democrats and Republicans alike to reduce the number of abortions in part by expanding access to birth control and Family Planning and we've made progress
HLCL-2016|and I picked as my running mate Tim Kaine a Democrat personally opposed to abortion because of his Catholic faith but supportive of women's rights as a matter of Law & policy
HLCL-2017|but when personal views on abortion become public actions legislation or judges or funding that erode women's rights that's a different matter
HLCL-2018|we have to remain a big tent but a big tent is only as strong as the poles that hold it up
HLCL-2019|Reproductive Rights are Central to women's rights and Women's Health
HLCL-2020|one of the most important temples we've got and remember it's a constitutional right as defined in Roe v Wade
HLCL-2021|there's overwhelming evidence about what happens when these rights are denied
HLCL-2022|Texas has defunded planned parenthood and refused to expand Medicaid and maternal mortality doubled between 2010 and 2014
HLCL-2023|that's the worst in the nation and it's higher than the rate in many developing countries
HLCL-2024|600 women have died in Texas not from abortions but from trying to give birth
HLCL-2025|the number of Texas teenagers having abortions actually increased when support for Family Planning with cut
HLCL-2026|in one County Greg it went up 191 per cent between 2012 and 2014
HLCL-2027|ultimately I'm pro-choice pro-family and prophase because I
HLCL-2028|believe that our ability to decide whether and when to become mothers is intrinsic to our Liberty
HLCL-2029|When government gets involved in this intimate realm weather in places like China would force women to have abortions or in communist Romania would force women to Bear children it is horrific
HLCL-2030|I visited hospitals in countries where poor women have no access to safe and legal abortion I've seen what happens when desperate women take matters into their own hands
HLCL-2031|as I see it this issue comes down to the question who decides
HLCL-2032|we can debate the morality of abortion forever and I have spent many hours engaged in such debates and surely will spend many more but at the end of the day who decides whether a woman gets or stays pregnant a congressman who has never met her a judge was spoken with her for maybe a few minutes or should the woman be able to make this momentous decision about her life her body perfume
HLCL-2033|for herself someone's got to decide I say let women decide
