LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-1149||and mine as we moved out to dance
LAFB-1150||I'm going to call her Sofia she didn't dance well at least not by negro standards but who cares
LAFB-1151||I can feel the staring eyes of other couples around us
LAFB-1152||we talked I told her she was a good dancer and ask her where she'd learned
LAFB-1153||I was trying to find out why she was there most white women came to the black dancers for reasons I knew but you seldom saw her kind around there
LAFB-1154||she had big answers for everything but in the space of that dance we agreed that I would get Laura home early and rushed back in a taxicab and then she asked if I'd like to go for a drive later I felt very lucky
LAFB-1155||Laura was home and I was back at the Roseland in an hour flat Sophia was waiting outside
LAFB-1156||about five blocks down she had a load convertible
LAFB-1157||she knew where she was going Beyond Boston she pulled off into a side
LAFB-1158||Road and then off that into a deserted Lane and turned off everything but the radio
LAFB-1159||for the next several months Sophia would pick me up downtown and I'd take her to dances and to the bars around Roxbury
LAFB-1160||we drove all over sometimes it would be nearly daylight when she let me out in front of Ella's
LAFB-1161||I paraded her the Negro men loved her and she just seemed to love all Negroes
LAFB-1162||two or three nights a week we would go out together Sophia admitted that she also had dates with white fellows just for the look of thing she said she swore that a white man couldn't interest her
LAFB-1163||I wondered for a long time but I never did find out why she approached me so boldly that first night
LAFB-1164||I always thought it was because of some earlier experience with another negro but I never asked and she never said
LAFB-1165||never ask a woman about other men either she'll tell you a lie and you still won't know or if she tells you the truth you might not have wanted to hear it in the first place
LAFB-1166||anyway she seemed entranced with me I began to see less of shorty and when I did see him and the Gang he would job man I had to calm the birds out of my homeboys had now he's got a Beacon Hill chick
LAFB-1167||but truly because it was known that your teeth at schooled me my having Sophia gave shorty status
LAFB-1168||when I introduced her to him she hugged him like a sister and it just about finished shorty off
LAFB-1169||his best had been white prostitutes and a few of those poor specimens that worked around in the Mills and had discovered Negroes
LAFB-1170||it was when I began to be seen around town with Sophia that I really began to mature into some real status in Black downtown Roxbury
LAFB-1172||of course I knew that reason like I knew my own name they wanted to steal my fine white woman away from me
LAFB-1173||in the ghetto was in Suburbia it's the same status struggle to stand out in some envied way from the rest
LAFB-1174||at sixteen I didn't have the money to buy a Cadillac but she had her own find rubber as we called the car in those days and I had her which was even better
LAFB-1175||Laura never again came to the drugstore as long as I continue to work there
LAFB-1176||the next time I saw her she was the wreck of a woman notoriously around black Roxbury in and out of jail
LAFB-1177||she had finished high school but by then she was already going the wrong way
LAFB-1178||defying her grandmother she had started going out late and drinking liquor this led to dope and that to selling herself to men learning to hate the man who bought her she also became a lesbian
LAFB-1179||one of the shames I've carried four years is that I blame myself for all of this
LAFB-1180||to have treated her as I did for a white woman made the blow doubly heavy
LAFB-1181||the only excuse I can offer is that like so many of my black Brothers today I was just deaf dumb and blind
LAFB-1182||in any case it wasn't long after I met Sophia the telephone doubt about it and watching from the windows one early morning saw me getting out of Sophia's car
LAFB-1183||not surprisingly Ella began treating me like a Viper
LAFB-1184||about then shorties present finally moved in with the woman he was so crazy about and Sophia Finance me to take over half of the apartment with Shorty and I quit the drugstore and soon found a new job
LAFB-1185||I became a busboy at the Parker House in Boston I wore a start white jacket out in the dining room where the waiters would put the customers dirty plates and silver on big aluminum trays which I would take back to the kitchens dishwashers
LAFB-1186||a few weeks later one Sunday morning I ran into work expecting to get fired I was so late
LAFB-1187||but the whole kitchen crew was too excited and upset to notice
LAFB-1188||Japanese planes had just bombed the place called Pearl Harbor
LAFB-1190||every other day for 4 hours between Boston and New York in the coach Isles of the New York New Haven and Hartford Yankee Clipper
LAFB-1191||old man Roundtree and elderly Pullman Porter and a friend of Ella's had recommended the railroad job for me he had told her the war was snatching away railroad man so fast that if I could pass with 21 he could get me on
LAFB-1192||Ella wanted to get me out of Boston and away from Sofia she would have love nothing better than to have seen me like one of those Negroes who are already thronging Roxbury in the Army's khaki and thick shoes
LAFB-1193||home on leave for boot camp but my age of 16 stopped at
LAFB-1194||I went along with the railroad job for my own reasons for a long time I'd wanted to visit New York City
LAFB-1195||since I had been in Roxbury I had heard a lot about the Big Apple that it was called by the well-traveled musicians Merchant Mariners salesman chauffeur
LAFB-1196||for white families in various kinds of hustlers I ran into
LAFB-1197||even as far back as Lansing I have been hearing about how Fabulous New York was especially Harlem
LAFB-1198||in fact my father had described hauling with pride and showed us pictures of the huge parade by the Harlem followers of Marcus Garvey
LAFB-1200||everything I've ever heard about New York City was exciting
LAFB-1201||things like Broadway's bright lights and the Savoy ballroom and Apollo Theater in Harlem with great bands played and famous songs and dance step and negro Stars originate
LAFB-1202||but you couldn't just pick up and go visit New York from Lansing or Boston or anywhere else not without money
LAFB-1203||so I'd never really given too much thought to getting to New York until the freeway to travel there came in the form of Ella's talked with all man Roundtree who was a member of Ella's Church
LAFB-1204||what Ella didn't know of course was that I would continue to see Sophia Sophia could get away only a few nights a week
LAFB-1205||she said when I told her about the train job that she get away every night I got back into Boston and this would mean every other night if I got the run I wanted
LAFB-1206||Sophia didn't want me to leave at all but she believed I was drafted already and thought the train job would keep me out of the army
LAFB-1207||shorty thought it would be a great chance for me he was worried sick himself about the draft called that he knew was soon to come
LAFB-1208||like hundreds of the black ghettos young men he was taking some stuff that it was said would make your heart sound effective to the draft boards doctors
LAFB-1209||shorty felt about the war the same way I am most ghetto Negroes dead Whitey owns everything he wants us to go and bleeds for him let him fight
LAFB-1210||anyway at the railroad Personnel hiring office down on Dover Street attired acting old white clerk got down to the crucial point when I came to sign up
LAFB-1211||age little when I told him 21 he never lifted his eyes from his pencil I knew I had the job
LAFB-1213||temporarily though they put me on the colonial that ran to Washington d.c.
LAFB-1214||the kitchen crew headed by a West Indian Chef named Duke Vaughn work with almost unbelievable efficiency in the
LAFB-1215||French Quarters against the sound of the train clacking along the waiters were jabbering the customer's orders the cooks operated like machine and five hundred miles of 30 pots and dishes and silverware rattled back to me
LAFB-1216||then on the overnight layover I naturally went sightseeing in downtown Washington
LAFB-1217||I was astounded to find in the nation's capital just a few blocks from Capitol Hill thousands of negroes living worse than any I'd ever seen in the poorest sections of Roxbury
LAFB-1218||interflora Shacks along unspeakably filthy Lanes with names like pigalle and go tally
LAFB-1219||I have seen a lot but never such a dense concentration of stumblebum pushers hookers public crapshooter's even little kids running around at midnight begging for pennies half naked and barefooted
LAFB-1220||some of the railroad cooks and waiters and told me to be very careful because muggings knifing and rah
LAFB-1221||Breeze went on every night among those Negroes just a few blocks from the White House
LAFB-1222||but I saw other Negroes better off
LAFB-1223||they lived in blocks at rundown red brick houses
LAFB-1225||after a few of the Washington runs I snatched the chance when 1-day Personnel said I could temporarily replace a sandwich man on the Yankee Clipper to New York
LAFB-1226||I was into my Zoot Suit before the first passenger got off
LAFB-1227||The Kooks took me up to Harlem in a cab white New York passed by like a movie set then abruptly when we left Central Park at the upper
LAFB-1228||at 110th Street the people's complexion began to change
LAFB-1229||busy 7th Avenue ran along in front of a place called Smalls Paradise
LAFB-1230||the crew at told me before we left Boston that it was their favorite night spot in Harlem and not to miss it
LAFB-1231||no negro place of business had ever impressed me so much
LAFB-1232||around the big luxurious looking circular bar with 30 or 40 Negroes mostly men drinking and talkin
LAFB-1233||I was hit first I think by their conservative clothes and manners
LAFB-1234||whenever I've seen as many as 10 Boston d-rose let alone Lansing Negroes drinking there had been a big noise
LAFB-1235||but with all of these Harlem Nights drinking and talkin there was just a low murmur of sound
LAFB-1236||customers came and went the bartender's knew what most of them drank and automatically fixed it a bottle was set on the bar before some
LAFB-1238||Their Manners seemed natural they were not putting on any airs I was on
LAFB-1239||within the first 5 minutes in Smalls I had left Boston and Roxbury forever
LAFB-1240||I didn't know yet the bees weren't what you might call everyday or average Harlem Negroes
LAFB-1241||later on even later that night I would find out that Harlem contained hundreds of thousands of my people who were just as loud and Guardians Negroes anywhere else
LAFB-1242||but these were the cream of the older more mature operators in Harlem
LAFB-1243||today's numbers business was done the nights gambling and other forms of hustling hadn't yet begun
LAFB-1244||the usual nightlife crowd who worked on regular jobs all day we're at home eating their dinners the hustlers at this time we're in the daily six congregation having their favorite bars all over Harlem largely to themselves
LAFB-1245||from small attack seed over to the Apollo Theater I remember so well that Jay mcshane's band was playing because his vocalist was later with my close friend Walter Brown the one who used to sing Hootie Hootie Blues
LAFB-1246||from there on the other side of 125th Street at 7th Avenue ice all the big tall gray Teresa Hotel
LAFB-1247||it was the finest in New York City where Negroes could stay then years before the downtown hotels what except the black man
LAFB-1248||the Theresa is now best known as the place where Fidel Castro went during his un visit and achieved a psychological cool over
LAFB-1249||US state department when it confined him to Manhattan never dreaming that he'd stay Uptown Harlem and make such an impression among the Negroes
LAFB-1251||as Dinah Washington was leaving with some friends I overheard someone say she was on her way to the Savoy Ballroom where Lionel Hampton was appearing that night she was then hamp's vocalist
LAFB-1252||the ballroom made the Roseland and Boston look small and shabby by comparison
LAFB-1253||and the Lindy Hop in their match the size and elegance of the place
LAFB-1254||Champs hard-driving outfit kept a red-hot pace with his
LAFB-1255||write such as Arnett Cobb Illinois jacquet Dexter Gordon Alvin Hayes Joe Newman and George Jenkins
LAFB-1256||I want a couple of rounds on the floor with the girls from the sidelines
LAFB-1257||probably a third of the sideline booze were filled with white people mostly just watching the Negroes dance but some of them dance together and as in Boston a few white women were with Negroes
LAFB-1258||the people kept shouting for him flying home and finally he did
LAFB-1259||I could believe the story I'd heard in Boston about this number that once in the Apollo hamp's flying home had made some reefer smoking negro in the second balcony believe he could fly so he tried and jumped and broke his leg
LAFB-1260||an event later immortalized in song when Earl Hines wrote a hit tune called second balcony jump
LAFB-1261||I have never seen such Beaver heat dancing after a couple of slow numbers
LAFB-1262||play soft they brought on Dinah Washington
LAFB-1263||once you get her salty papa blue's those people just about tore the Savoy roof off
LAFB-1264||for Diana's funeral was have not long ago in Chicago
LAFB-1265||I read over 20,000 people viewed her body and I should have been there myself
LAFB-1266||Paul Diner we became great friends back in those days
LAFB-1267||but this night of my first visit was kitchen mechanic night at the Savoy
LAFB-1268||the traditional Thursday night off for domestics
LAFB-1269||I'd say they were twice as many women as men in there not only kitchen workers and Maids but also War wives and defense worker women lonely and looking
LAFB-1270||out in the street when I left the ballroom I heard a prostitute cursing bitterly that the professionals couldn't do any business because of the amateurs
LAFB-1271||up and down along and between Lenox and 7th and 8th Avenue
LAFB-1272||Harlem with spikes on Technicolor Bazaar
LAFB-1273||hundreds of negro Soldiers & Sailors gawking and young like me pass by
LAFB-1274||Harlem by now was officially off-limits to White servicemen
LAFB-1275||there had been some muggings and robberies and several white servicemen have been found murdered
LAFB-1276||the police were also trying to discourage white civilians from coming up down but those who wanted to still did
LAFB-1278||get another 2 years I could have given them all lessons but that night I was mesmerized
LAFB-1279||this world was where I belong on that night I had started on my way to becoming a hard-on might
LAFB-1280||I was going to become one of the most depraved parasitical Hustlers among New York eight million people 4 million of homework and the other four million who live off them
LAFB-1281||I couldn't quite believe all that I had heard and seen that night as I loved my shoulder strap sandwich boxing that heavy 5-gallon aluminum coffee pot up and down the aisles of the Yankee Clipper back to Boston
LAFB-1282||I wished that Ella and I had been on better terms so that I could try to describe to her how I felt
LAFB-1283||but I did talk to shorty urging him to at least go to see the Big Apple music world
LAFB-1284||Sofia listen to me too she told me that I'd never be satisfied anywhere but New York she was so right
LAFB-1285||in one night New York Harlem had just about narcotized me
LAFB-1286||that sandwich man I'd replaced had little chance of getting his job back
LAFB-1287||I went bellowing up and down those train aisle
LAFB-1288||I sold sandwiches coffee candy cake and ice cream as fast as the railroads commissary Department could Supply them
LAFB-1289||it didn't take me a week to learn that all you had to do was give white people the show when they buy anything you offered them
LAFB-1290||it was like popping you shoe shine rag the dining car waiters and Pullman Porters new at 2 and they faked their uncle-tomming to get bigger tips
LAFB-1291||we were in that world of negroes who were both servants and psychologists aware that white people are so obsessed with their own importance that they will pay liberally he even dearly for the impression of being catered to and entertained
LAFB-1292||every layover night in Harlem Iran and explore new places I first got a room at the Harlem YMCA because it was less than a block from small Paradise
LAFB-1293||then I got a cheaper room at mrs. Fisher's rooming house which was close to the YMCA
LAFB-1294||most of the railroad men stated mrs. Fisher's
LAFB-1296||dirt garbage cans overflowing or kicked over drunks do batiks beggars
LAFB-1297||sleazy bars front store churches with gospel being shouted inside
LAFB-1298||bargain stores hot shops undertaking parlors
LAFB-1299||greasy home cooking restaurants beauty shops smoky inside from negro woman's hair getting fries
LAFB-1300||barber shops advertising conch experts
LAFB-1301||Cadillacs second-hand and new
LAFB-1302||conspicuous among the cars on the street
LAFB-1303||all of it was land things Westside or Roxbury South End magnified a thousand times
LAFB-1305||negro and white canvases sidled up alongside you talkin fast as they tried to get you to buy a copy of the daily worker
LAFB-1306||this paper is trying to keep your rent controlled make that greedy landlord killed them rats in your partner
LAFB-1307||this paper represents the only political party that ever ran a black man for the vice presidency of the United States just want you to read won't take but a little of your time
LAFB-1308||who do you think bought the hardest to help free those Scottsboro
LAFB-1309||things I overheard among Negroes when the salesman were around let me know that the paper somehow was tied in with the Russians but to my sterile mind in those days didn't mean much
LAFB-1310||the radio broadcast of the newspapers within full of our Ally Russia a strong muscular people peasants with their backs to the wall helping America to fight Hitler and Mussolini
LAFB-1311||but New York was Heaven to me and Harlem was 7th Heaven
LAFB-1312||I hung around and Smalls in the Braddock bars so much that the bartenders began to pour a shot of bourbon my favorite brand of it when they saw me walk in the door
LAFB-1313||and the steady customers in both places the hustlers and Smalls and the entertainers in the Braddock begin to call me read unnatural enough nickname and view of my bright red conch
LAFB-1314||I now had my conch done in Boston at the shop of Abbott and fogy it was the best conch shop on the East Coast according to the musical Grace who would recommended it to me
LAFB-1316||he was hitting the heights then with his song hey pretty mama chunk me in your big brass bed
LAFB-1317||I also knew solid he was married to a red complexion girl and they lived up on Sugar Hill Side it a lot of arranging for Tommy Dorsey in those days is most famous to not believe was yes indeed
LAFB-1318||the regular Yankee Clipper Sandwich Man when he came back was put on another train
LAFB-1319||he complained about seniority but my sales record made them placate him some other way
LAFB-1320||the waiters and Cooks have begun to call me sandwich read
LAFB-1321||by that time they had a laughing bet going that I wasn't going to last
LAFB-1322||sales or not because I was so rapidly becoming such an uncouth wild young Libra
LAFB-1323||profanity had become my language I'd even cursed customers especially servicemen I couldn't stand them
LAFB-1325||I remember the tension I laughed and told him sure I'll fight but you got too many clothes on
LAFB-1328||never would forget that that I couldn't have whip that white man is badly with a club as I had with my mind
LAFB-1329||many of the New Haven line cooks and waiters stealing railroad service today would remember old Pappy cousins he was the Yankee Clipper Stewart a white man of course from Maine
LAFB-1330||Negroes have been in Dining Car Service as much as 30 and 40 years but in those days there were no negro Stewart's on the New Haven line
LAFB-1331||anyway Pappy cousins loved whiskey and they like everybody even me
LAFB-1332||a lot of Passenger complaints about me Pappy had let slide he'd ask some of the old Negroes working with me to try and calm me down
LAFB-1333||man you can't tell him nothing they'd exclaimed and they couldn't
LAFB-1334||at home in Roxbury they would see me parading with Sophia guest in my wild zoot suits
LAFB-1335||then I'd come to work loud and wild and have high on liquor or reefers and I
LAFB-1336||hey that way jamming sandwiches if people until we got to New York
LAFB-1337||off the train I go to that Grand Central Station afternoon rush-hour crowd and many white people simply stopped in their tracks to watch me pass
LAFB-1338||the draping the cut of a Zoot Suit show to the best Advantage if you were tall and I was over 6 feet my cock was Fire Red
LAFB-1339||I was really a clown but my ignorance made me think I was sharp my knob toed orange-colored kick up shoes with nothing but floor shines the ghettos Cadillac of shoes in those days
LAFB-1340||some shoe companies made these ridiculous tiles for sale only in the black ghettos we're ignorant Negroes like me would pay the big-name price for something that we associated with being rich
LAFB-1341||and then between tomorrow's Paradise the Braddock hotel in other places
LAFB-1342||as much as my 20 or $25 pay with Ally while I drink liquor smoke marijuana
LAFB-1343||painted the big apple red with increasing numbers of friends and finding and mrs. Fisher's rooming house I got a few hours of sleep before the Yankee Clipper roll again
LAFB-1344||it was inevitable that I was going to be fired sooner or later
LAFB-1345||what finally finished me was an angry letter from a passenger
LAFB-1346||the conductor's added their B telling how many verbal complaints they had and how many warnings I've been given
LAFB-1347||but I didn't care because of those wartime days such jobs as I could have Spire too we're going begging
LAFB-1348||when the New Haven line paid me off I decided it would be nice to make a trip to visit my brothers and sisters in Lansing
LAFB-1349||I had accumulated some railroad free travel privileges
LAFB-1350||none of them back in Michigan could believe it was me
LAFB-1351||only my oldest brother Wilfred wasn't there he was away at Wilberforce University in Ohio studying a trade
LAFB-1352||but Phil Burton Hilda we're working in Lansing
LAFB-1353||channeled the one who would always looked up to me had gotten big enough to fake his age and he was planning soon to enter the Merchant Marine
LAFB-1354||even Westley and Robert were in school
LAFB-1355||my car can hold costume was so wild that I might have been taking it the man from Mars
LAFB-1356||I called the minor automobile Collision One driver stop the gate with me and the driver behind bumped into him
LAFB-1357||my parents staggered the older boys I had once envied I'd stick out of my hand saying skin me Daddio
LAFB-1358||my stories about two Big Apple my reefers keeping me Sky High wherever I went I was the life of the party my man give me some skin
LAFB-1359||the only thing that brought me down to Earth was the visit to the state hospital in Kalamazoo
LAFB-1360||my mother sort of half cent to I was
LAFB-1361||and I looked up shorties mother I knew he'd be touched by my doing that
LAFB-1362||she was an old lady and she was glad to hear from shorty through me
LAFB-1363||I told her that shorty was doing fine and one day he was going to be a great leader of his own bad
LAFB-1364||she asked me to tell shorty that she'd wished he'd write her and send her something
LAFB-1365||and I dropped over to Mason to see Mrs swirling the woman at the detention home who would kept me those couple of years
LAFB-1366||her mouth flew open when she came to the door
LAFB-1368||between the way I looked and my style of talk I made her so nervous and uncomfortable that we were both glad when I left
LAFB-1369||the night before I left a dance was given in the Lincoln school gymnasium
LAFB-1370||I've since learned that in the strange city to find the Negroes without asking where
LAFB-1371||you just check in the phone book for a Lincoln School it's always located in the segregated black ghetto at least it was in those days
LAFB-1372||I'd left Lansing unable to dance but now I went around the gymnasium floor flinging little girls over my shoulders and hips showing my most startling steps
LAFB-1373||several times the little band nearly stopped and nearly everybody left the floor watching with their eyes like saucers that night I even signed autographs Harlem red and I left Lansing shocked and rocked
LAFB-1374||back in New York Stone broke and without any means of support I realized that the railroad was all that I actually knew anything about
LAFB-1375||so I went over to the Seaboard lines hiring office
LAFB-1376||the railroads needed men so badly that all I had to do was tell them I had worked on the New Haven and two days later I was on the silver meteor to St Peters
LAFB-1377||and Miami renting pillows and keeping the coaches clean and the white passengers happy I made about as much as I had with sandwiches
LAFB-1378||I soon ran if all of the Florida Cracker who was assistant conductor
LAFB-1380||the owner of the bar was Ed small he and his brother Charlie were inseparable and I guess Harlem didn't have two more popular and respected people
LAFB-1381||they knew I was a railroad man which for a waiter was the best kind of recommendation
LAFB-1382||Charlie small was the one I'd actually talked with in their office
LAFB-1383||I was afraid he'd want to wait to ask some of his old-time areal
LAFB-1384||girlfriends for their opinion Charlie would have gone for anybody he heard was wild
LAFB-1385||but he decided on the basis of his own impression having seen me in his place so many times sitting quietly almost an are observing the hustling set
LAFB-1386||I told him when he asked that I never been in trouble with the police and up to then that was the truth
LAFB-1387||Charlie told me that rules for employees no lateness no laziness No Stealing no kind of hustling off any customers especially man in uniform and I was hired
LAFB-1388||this was a 1942 I had just turned 17
LAFB-1389||with Smalls practically in the center of everything waiting tables there was 7th Heaven seven times over
LAFB-1390||Charlie small had no need to caution me against being late I was so anxious to be there I derive an hour early
LAFB-1391||I relieve the morning waiter as far as he was concerned mine was
LAFB-1392||slowest most no tips time of day and sometimes he'd stick around most of that our teaching me things for he didn't want to see me fired
LAFB-1393||thanks to him I learned very quickly dozens of little things that could really ingratiate a new waiter with the cooks and bartenders
LAFB-1394||both of these depending on how they like the waiter could make his job miserable or Pleasant and I meant to become indispensable
LAFB-1395||inside of a week I had succeeded with both and the customers who have seen me among them around the bar recognizing me now in the waiters jacket we're pleased and surprised and they couldn't have been more friendly and I couldn't have been more solicitous
LAFB-1396||another drink right away sir would you like dinner
LAFB-1397||it's very good could I get you a menu sir
LAFB-1398||but maybe a sandwich not only the bartenders and Cooks who knew everything about everything it seems to me but he
LAFB-1399||the customers also began to school me and the little conversations by the bar when I wasn't busy sometimes a customer would talk to me as he ate sometimes I have long talks absorbing everything with the real Old-Timers who would been around Harlem since Negroes first came there
LAFB-1400||that in fact was one of my biggest surprises that Harlem hadn't always been a community of negroes
LAFB-1401||it first have been a Dutch settlement I learned then began the massive waves of poor and half-starved and ragged immigrants from Europe arriving with everything they owned in the world in bags and sacks on their backs
LAFB-1402||the Germans came first the Dutch edged away from them and Harlem became all German
LAFB-1404||and then the Italians left today all these immigrants descendants are running as hard as they can to escape the descendants of negroes who help to unload the Immigrant ships
LAFB-1406||MidFirst been in the Wall Street area then they were pushed into Greenwich Village
LAFB-1407||the next job was up to the Pennsylvania station area and then the last stop before Harlem the black ghetto was concentrated around 52nd Street which is how 52nd Street got the swing street name and reputation that lasted long after the Negroes were gone
LAFB-1408||Bennett 1910a nigra real-estate man somehow
LAFB-1410||virtually all black then early in the 1920s music and entertainment spring up as an industry in Harlem supported by downtown white who poured Uptown every night
LAFB-1411||it all started about the time a tough young New Orleans cornet man named Louis Satchmo Armstrong climbed off a train in New York wearing clodhopper policeman shoes and started playing with Fletcher Henderson
LAFB-1412||in 1925 small Paradise at open with crowds all across 7th Avenue in 1926 the great Cotton Club where Duke Ellington's band would play 45 years
LAFB-1413||also in 19/26 the Savoy Ballroom opened
LAFB-1414||ahold blockfront on Lenox Avenue with a 200-foot Dancefloor on the spotlight before to Bandstand and the disappearing rear stage
LAFB-1415||Harlem's famous image spread until it's warmed nightly with white people from all over the world
LAFB-1416||the tourist buses came there The Cotton Club cater to whites only and hundreds of other clubs ranging on down to Cellar speakeasies catered to white people's money
LAFB-1417||some of the best-known where Connie's in the Lenox Club Barons The Nest Club Jimmie's Chicken Shack and minton's
LAFB-1418||the Savoy the Golden Gate and the Renaissance ballrooms battle for the crowds
LAFB-1419||the Savoy introduce such attractions as Thursday kitchen mechanics night bathing beauty contest and a new car given away each Saturday night
LAFB-1420||they advance from all across the country in the ballrooms and the Apollo in Lafayette Theaters
LAFB-1421||dead colorful band leaders like Fest Williams in his diamond-studded suit and top hat
LAFB-1422||and Cab Calloway in his white Zoot Suit to end all Zeus and his wide-brimmed white hat and string tie setting Harlem a fire with tiger Rag and St James Infirmary in Minnie the Moocher
LAFB-1423||Blacktown crawled with white people with pimps prostitutes Bootlegger's with hustlers of all kinds with colorful characters and with police and prohibition agents
LAFB-1424||Negroes dance like they never have anywhere before or since
LAFB-1425||I guess I must have heard 25 of the old-timers and Smalls swear to me that they had been the first to dance in the Savoy the Lindy Hop which was born there in 1920
LAFB-1426||7 name for Lindbergh would just made his flight to Paris
LAFB-1427||even the little Cellar places with only piano space had fabulous keyboard artists such as James P Johnson and jelly roll Morton and singers such as Ethel Waters
LAFB-1429||when it all ended with the stock market crashed in 1929 Harlem had a world reputation as America's Casbah
LAFB-1430||Smalls had been apart of all that there I heard the old-timers reminisce about all those great times
LAFB-1431||everyday I listened rapley to customers who felt like talking and it all added to my education
LAFB-1432||my ears soaked it up like sponges when one of them in a rare burst of confidence or a little Beyond his usual number of drinks would tell me inside things about the particular form of hustling that he pursued as a way of life
LAFB-1433||I was the schools well by expert in such hustles as the numbers pimping con games of many kinds peddling dope thievery of All Sorts including armed robbery
LAFB-1435||I saw people on there long wild spending sprees after big hits I don't mean just Hustlers who always had some money I mean ordinary working people the kind that we otherwise almost
LAFB-1436||ever saw in a bar like Smalls who was a good enough hid at quit their jobs working somewhere downtown for the white man
LAFB-1438||hundreds of thousands of New York City Negros everyday but Sunday would play from a penny on up two large sums on three digit numbers
LAFB-1439||a hit meant duplicating the last 3 figures from the stock exchanges printed daily total of us domestic and foreign sales
LAFB-1440||with the odds at 600 21 a penny hit one $6 a dollar One 600 and so on
LAFB-1441||on $15 the hit would mean 9000
LAFB-1442||famous hits like that had bought controlling interest in lots of Harlem's bars and restaurants or even bought some of them out right
LAFB-1443||the chances of hitting were thousand 21 many players practice what was called combinator
LAFB-1444||for example $0.06 would put one penny on each of the six possible combinations of three digits
LAFB-1445||the number 840, dated would include 8408 0404 80-84 408 and 480
LAFB-1446||practically everyone played everyday in the poverty-ridden black ghetto of Harlem Every Day's someone you knew was likely to hit and of course it was Neighborhood News if big enough of it neighborhood excitement
LAFB-1447||it's generally with small a Nickel Dime or quarter
LAFB-1448||most people tried to play a dollar a day but split it up among different numbers and compensated
LAFB-1449||Harlem's number industry hummed every morning and into the early afternoon with the runners jotting down people's bets on slips of paper and apartment house hallways bars barbershops stores on the sidewalks
LAFB-1450||the cops looked on no Runner lasted long who didn't out of his pocket put in a free figure for his working areas foot cops and it was generally known that the numbers back is paid off at higher levels of the police
LAFB-1451||the daily small army of Runners each got 10% of the money they turned in along with the BET slips to their controllers and if you hit you gave the number Runner a 10% tip
LAFB-1452||a controller might have as many as fifty Runners working for him and the controller got 5% of what he turned over to the banker who paid off the hit paid off the police and got rich off the balance
LAFB-1453||some people played one number all year many had lists of the daily
LAFB-1454||numbers going back for years they figured reappearance odds and used other systems others played their hunches addresses license numbers of passing cars any numbers on letters telegrams laundry slips numbers from anywhere
LAFB-1455||dream books that cost a dollar would say what number nearly Any Dream suggested evangelist to on Sundays pedal Jesus and Mystics would pray a lucky number for you for a fee
LAFB-1456||recently the last three numbers of the post office is new zip code for a postal District in Harlem hit and one Banker almost went broke
LAFB-1458||everyday in Smalls Paradise was fascinating to me
LAFB-1459||and from a harlem point of view I couldn't have been in a more educational situation
LAFB-1460||some of the ablest of New York black Hustlers took a liking to me and knowing that I was still green by their terms soon began in a paternal way to straighten red out
LAFB-1461||their methods would be indirect a dark businessman looking West Indian often would sit at one of my tables
LAFB-1462||one day when I brought his beer he said red hold still a minute
LAFB-1463||he went over me with one of those yellow tape measures and jotted figures in his notebook
LAFB-1464||when I came to work the next afternoon one of the bartenders handed me a package
LAFB-1465||and it wasn't expensive dark blue suit conservatively cut
LAFB-1466||the gift was thoughtful and the message clear
LAFB-1467||the bartender's let me know that this customer was one of the top Executives of the fabulous Forty Thieves
LAFB-1468||that was the gang of organized boosters who would deliver to order in one day codeine kind of garment you desired you would pay about 1/3 of the stores price
LAFB-1469||I heard how they made massholes
LAFB-1470||A well-dressed member of the gang who wouldn't arouse suspicion by his manner would go into a selected store about closing time hide somewhere and get locked inside when the store closed
LAFB-1471||the police patrols would have been time beforehand
LAFB-1472||after dark keep tactsuit sandbags then turn off the burglar alarm and use the telephone to call awaiting truck and crew
LAFB-1473||when the truck came timed with the police patrols it would be loaded and gone within a few minutes
LAFB-1474||I later got to know several members of the Forty Thieves
LAFB-1475||plainclothes detectives soon we'll quietly identified to me by an odd
LAFB-1476||a wink knowing the law people in the area was elementary for the hustlers and like them in time I would learn to sense the presence of any police types
LAFB-1478||longshoreman or fences for them would come into the bars selling guns cameras perfumes watches and the like stolen from the shipping docks
LAFB-1479||these Negroes got what white longshoremen thievery left over
LAFB-1480||Merchant Marine Sailors often brought in foreign items Bargains and the best marijuana cigarettes to be had were made from the gungeon kishka that Merchant Sailors smuggled in from Africa and Persia
LAFB-1481||in the daytime whites were giving a guarded tree
LAFB-1482||why two came in at night got a better reception
LAFB-1483||the several Harlem nightclub they patronize were geared to entertain and Jive the nitewhite crowd to get their money
LAFB-1484||and with so many law agencies guarding the morals of servicemen
LAFB-1485||any of them that came in and a lot did we're giving what they asked for and were spoken to if they spoke and that was all unless someone knew them as natives of Harlem
LAFB-1487||the bartender's would let me know which among the regular customers were mostly fronts and which really had something going
LAFB-1488||which were really in the Underworld with downtown police or political connections which really handled to money and which were making it from day today
LAFB-1489||which were the real gamblers and which had just hit a little luck and which one never to run afoul of in any way
LAFB-1490||the latter were extremely well known about Harlem and they were feared and respected
LAFB-1491||it was known that if upset they would break open your head and think nothing of it
LAFB-1492||these were the old-timers not to be confused with the various hot-headed wild young Hustlers out trying to make a name for themselves for being crazy with a pistol trigger or a knife
LAFB-1493||the old heads that I'm talkin about what such as black Sammy Bob kulick King padmore and West Indian Archie
