BKOB-0||to Michelle my love and life partner
BKOB-2044||I didn't seem off but I was coming to realize that the two of us had much in common
BKOB-2045||we're both analytical and even-keeled generally skeptical of convention and pretense
BKOB-2046||I could be absentminded indifference a small details incapable of maintaining an orderly filing system constantly misplacing memos tens and cell phone for the just been handed to me
BKOB-2047||turned out to be a managerial genius
BKOB-2048||from the start he focused on apologetically and unswervingly on winning Iowa
BKOB-2049||even when people financing some of our supporters were calling us idiots for being so single-minded
BKOB-2050||he won't let anyone waiver an inch from the strategy starting it was our only path to Victory
BKOB-2051||Quantum for commercial discipline giving everyone on our team from ax2r most Junior organizer a level of autonomy will also demanding accountability in a strict adherence to process
BKOB-2052||cap salary is his way of eliminating needless staff descent
BKOB-2053||he pointedly directed resources away from bloated Consulting contracts and media budgets in order to give our field organizers what they needed on the ground
BKOB-2054||obsessing about data he recruited the team of Internet savants who designed the digital program it was light years ahead of those not just another campaign but many private corporations as well
BKOB-2055||add it all up and in six months from a standing start
BKOB-2056||Pluff built a camp in operation strong enough to go toe-to-toe with the Clinton machine
BKOB-2057||it was a fact he quietly relished this is another thing I came to realize about
BKOB-2058||beneath the Loki Persona and deep Confections
BKOB-2059||he's a plane like the comment politics was his sport and it has chosen Endeavor he was as competitive as Reggie wasn't basket
BKOB-2060||later I'd ask axe if he'd anticipated just how good a camping architect has been Junior partner would turn out to be
BKOB-2061||extra cassette fucking Revelation he said
BKOB-2062||in presidential Politics the best strategy means little if you don't have the resources to executed and this was the second thing we had going for us
BKOB-2063||might give him the cleanse have been cultivating a national donor base for nearly three decades our working assumption has been that Hillary would have a tremendous fundraising advantage over us
BKOB-2064||hunger for change in America was proving to be stronger than even we had anticipated
BKOB-2065||early on our fundraising follow the traditional pattern
BKOB-2066||big donors from big cities Road and collected big checks
BKOB-2067||a pritzker a businesswoman and longtime friend from Chicago served as our campaigns National fine
BKOB-2068||bring both organizational Acumen and a vast network of relationships to BF
BKOB-2069||atop talking and experienced Finance director Dothan expert team and had a gift for alternate Lee sweet-talkin shaming and sometimes scary Manta engaging the endless couple $4
BKOB-2070||a great smile but the eyes of a killer I grew accustomed to the drill probably out of necessity but also because as time went on our donors came to understand and even appreciate my terms
BKOB-2071||it was about building a better country I'd tell them not about egos or presti
BKOB-2072||I would listen to their take on an issue especially if they had some expertise but I wouldn't shave my positions to satisfy them
BKOB-2073||if I had a spare minute the thank you notes I wrote and the birthday calls I made would be directed not to them but you are volunteers and young staff out in the field
BKOB-2074||and if I won they could count on me raising their taxes
BKOB-2075||this attitude Wacissa few donors but how
BKOB-2076||culture among supporters that wasn't about perks or status
BKOB-2077||and anyway with each successive month the makeup of our donor base with shifter
BKOB-2078||small donations in ten or 20 or $100 increments started pouring in
BKOB-2079||most coming through the internet from college students who pledged their Starbucks budget for the duration of the campaign
BKOB-2080||Grandma's to taking up a sewing Circle collection
BKOB-2081||all told during primary season we would raise million from small donors allowing us to compete in every state for everybody
BKOB-2082||more than the money itself the spirit behind the giving the sense of ownership for the accompanying letters and email messages conveyed Infuse the campaign with Grassroots energy
BKOB-2083||this is not all up to you though donations told us
BKOB-2084||we are here on the ground millions of us scattered across the country and we believe
BKOB-2085||we are all in more than a strong operation strategy that effective Grassroots fundraising
BKOB-2086||element kept both the campaign and our Spirits afloat that first year
BKOB-2087||the work of our Iowa team and their indefatigable leader Paul 2
BKOB-2089||mom like was also a conservative place which made the two-family standout elope
BKOB-2090||call Mom and filled in heaven early allegiance to the Democratic party as only the families allegiance to the Lutheran faith
BKOB-2091||26 years old he patiently explained to a classmate that he shouldn't support the Republicans
BKOB-2092||cuz your family ain't Rich four years later he cried bitterly when Jimmy Carter lost around Ray
BKOB-2093||call father was proud enough of his passion for politics that he share the episode
BKOB-2094||befriend the town's High School Civics teacher
BKOB-2095||perhaps hoping that a ten year olds interest in public affairs might Inspire stolen teenagers related to his class
BKOB-2096||the next several days older kids teased Paul mercilessly their faces like cry babies whenever they spotted in the hall
BKOB-2097||Paul was undeterred in high school he organized the dance to raise money for Democratic candidates
BKOB-2098||in college he interned for the local state representative and in a feat that gave him particular pride somehow managed to deliver one of Mountain Lakes to Precinct to his favorite candidate Jesse Jackson in the 1988 presidential primary
BKOB-2099||by the time I met him in 2007 Paul at work on just about every type of campaign imaginable
BKOB-2100||mayoral races to Congressional races service Outdoors Iowa State caucus director and as the Director of field operations across the country for the Democratic senatorial Campaign Committee
BKOB-2101||is 38 by then but looked older stocky and slightly balding with pale blonde mustache and pale skin to match
BKOB-2102||there's nothing fancy about Paul to his demeanor could be Gruff and it's closed never seem to match especially in the winter when like a true Minnesota it support all manner of flannel shirts down jackets and ski caps
BKOB-2103||guy more comfortable talking to farmers in the cornfield or drinking in a corner Saloon been mingling with high paid political Consultants
BKOB-2104||but sitting with him he quickly realized he knew his stuff
BKOB-2105||more than that beneath the Tactical insights detailed District voting histories and political anecdotes you might hear if you listen carefully enough the heart of the 10-year old boy who cared enough who believed enough to cry over an election
BKOB-2106||anyone who's ever run for president will likely tell you that there's nothing simple about winning Iowa
BKOB-2107||it's one of the number of u.s. states that holds a caucus to determine which
BKOB-2109||but participatory democracy had much to commend
BKOB-2110||but it was time consuming I caught this could last 3 hours or more
BKOB-2111||and require participants to be well-informed willing to mow publicly and committed enough to make an evening of
BKOB-2112||unsurprisingly caucuses 1:50 attractive small and static cross-section of the Iowa lecture
BKOB-2113||made up of older voters party functionaries longtime partisans
BKOB-2114||those who shoot in general to the tried-and-true this meant the Democratic caucus scores were more likely to support a known quantity like Hillary Clint
BKOB-2115||when someone like me from the start to impress upon plus and flop and turn impressed upon me that if we want to win Iowa we needed to run a different kind of campaign
BKOB-2116||we have to work harder and longer face-to-face twin over traditional caucus-goers
BKOB-2117||more importantly we have to convince a whole lot of likely Obama supporters young people people of color and Penance to overcome the various hurdles and Hang-Ups and participate in the caucus for the very first time
BKOB-2118||to do it to them fitted on opening office right away covering all 99 Iowa counties and for each office we'd hire young staffer who with little pee or day-to-day supervision would be responsible for engineering their own local political move
BKOB-2119||it was a big investment and an early gamble but we gave to the Greenlight
BKOB-2120||you went to work with an outstanding team of deputies who helped develop his plan
BKOB-2121||which store has galston and philippic and Emily Parcell
BKOB-2122||all of them smart discipline experience on multiple campaigns and under 32 years old
BKOB-2123||I spent the most time with Emily was nine when they doesn't work for former Governor Tom vilsack
BKOB-2124||to figured she'd be especially helpful to me is I navigated local politics
BKOB-2125||you're twenty-six one of the youngest in the group the dark hair and sensible clothes and diminutive enough to pass for high school senior
BKOB-2126||I quickly discovered she knew just about every Democrat in the state and had no qualms about giving me very specific instructions at every stop covering whom I should talk to and which issues the local community most cared about
BKOB-2127||this information was delivered in a deadpan monotone along with a look that suggested a low tolerance for foolishness equality Emily may have inherited from her mom
BKOB-2128||worked at the Motorola plant for three decades and still managed to put herself through college
BKOB-2129||during the long hours we've been traveling between events in a rented campaign van I made it my mission to coax a smile out of Emily
BKOB-2130||jokes wisecracks tons free Alterations by the size of Reggie's head
BKOB-2131||but my charm and wit invariably crashed on the rocks of her steady unblinking gaze
BKOB-2132||can I set alarm trying to do exactly what you told me to do Mitch Mary Grace and Ann would later describe the particulars of their work which included collectively screen all the unorthodox ideas to routinely pisted meeting
BKOB-2133||you have kind of day that's what explain nine we're ridiculous one would be genius
BKOB-2134||Mitch was a gangly South dakotan who work in Iowa politics before but it never encountered someone is passionately eclectic has to
BKOB-2135||if he brought up the same idea to me three times cheaper call I figured there might be something there
BKOB-2136||enlisting normal lion I was butter cow lady
BKOB-2137||what the state fair each year sculpted a life-size cow out of salted butter to make prerecorded calls announcing her support for us which we then blasted across the state
BKOB-2138||genius she later created a 23lb butter bust of my head also likely to zaidi
BKOB-2139||insisting we put up Billboards along the highway with rhyming phrases unfolding in sequence like the old 1960s burma-shave at
BKOB-2140||time for change let's shift gears won't for the guy with big ears Obama 08
BKOB-2141||messaging promising to shave his eyebrows if the staff reach the unreachable goal of collecting 100,000 supporter cards
BKOB-2142||not genius until very late in the campaign when the team actually hit the mark at which point it became genius
BKOB-2143||Miss shaped is to Mary Grace would explain where pictures it was horrible
BKOB-2144||truth will set the tone for our operation
BKOB-2145||Grassroots no hierarchies irreverent and slightly manic
BKOB-2146||no one including senior staff donors or dignitaries was exempt from doing some door-knocking
BKOB-2147||in the early weeks he hung sign but every wall and every office with a model heat author
BKOB-2148||respect Empower include
BKOB-2149||if we were serious about new kind of politics be explained and it started right there on the ground but every organizer committed to listening to people
BKOB-2150||respecting my bad to say and treating everybody including our opponents and their supporters the way we wanted to betray
BKOB-2151||lastly he stressed the importance of encouraging voters to get involved instead of just selling them a candidate like a box of laundry
BKOB-2152||anyone breach these values got scolded and sometimes pulled from the field
BKOB-2153||when during our teams weekly conference call a new organizer made a joke about why he joined the campaign saying something about
BKOB-2154||hating Panthers a reference to Hillary's favorite campaign attire
BKOB-2155||admonished him in a lengthy rant for all the other organizers to here
BKOB-2156||it's not what we stand for he said not even in private
BKOB-2157||Vista heart because to practice what you preach
BKOB-2158||despite the occasional intemperate Outburst he never fail to show people how much they matter
BKOB-2159||Mary Grace's uncle died Tuesday Claire National Mary Grace Bay
BKOB-2160||and have everyone in the office where pick you also had me record a message announcing the for one day he would have to do everything Mary Grace set
BKOB-2161||of course Mary Grace had to put up with 300 days of twos and Mets chewing tobacco in the office so The Ledger never fully balance
BKOB-2162||this kind of camaraderie permitted Iowa operation
BKOB-2163||Manchester's headquarters but more importantly among the close to 200 field organizers we deployed across the state
BKOB-2164||all told I would spend 87 days and I would idea
BKOB-2165||example each towns culinary specialty shoot hoops with school kids on any Court we could find an experience every possible whether event from funnel cloud to sideways sleep
BKOB-2166||those young men and women working Amazon hours for subsistence wages or my able guide
BKOB-2167||most were barely out of college many were on their first campaign in far away from home
BKOB-2168||I'm a grown up in Iowa or the role Midwest know you're with the attitudes and way of life of mid-sized towns like Sioux City or Altoona
BKOB-2169||that wasn't typical assemble our organizers in a room and you'd find Italians from Philly Jews from Chicago Black from New York and Asian from California and Children Of The Rich suburbs
BKOB-2170||engineering Majors former Peace Corps volunteers military veterans and high school dropouts
BKOB-2171||on the surface at least there's no way to connect their wildly varied experiences to the meeting potatoes folks who votes we desperately need
BKOB-2172||and yet they did collect arriving in town with a duffel bag or a small suitcase
BKOB-2173||living in the spare bedroom or basement of some early local supporter they would spend months getting to know a place
BKOB-2174||visiting Waka Barbershop setting up card tables in from the grocery store speaking at The Rotary Club
BKOB-2175||they helped coach little league assisted local charities and called her mom for a banana pudding recipe so they wouldn't show up at the potluck empty hand
BKOB-2176||they learn to listen to their local volunteer most of them were much older with their own jobs families and concerns
BKOB-2177||I got good at recruiting new ones too they worked each day to exhaustion and fought off bouts of loneliness and fear
BKOB-2178||month by month A1 people's trust
BKOB-2179||they were no longer strangers what a tonic seizure
BKOB-2180||kids and I were were they filled me with optimism and gratitude and a sense of coming full circle
BKOB-2181||and then I saw myself 25 arriving in Chicago confused and idealistic
BKOB-2182||I remember the precious bonds I've made with families on the Southside
BKOB-2183||mistakes in small victories the community I have found similar to what our field organizers were now forging for themselves
BKOB-2184||experiences pointed me back why I've gone into government in the first place
BKOB-2185||toward the Taproot idea that maybe politics could be less about power and positioning and more about community and connection
BKOB-2186||our volunteers across Iowa might believe in me I thought to myself
BKOB-2187||they were working as hard as they were mainly because of those young organizers
BKOB-2188||just as those kids may have signed up to work for the campaign because of something I've said or done but now they belong to the volunteer
BKOB-2189||what drove them what's the sting them independent of
BKOB-2190||candidate for a particular issue for the friendships and relationships the mutual loyalty in progress born of joint effort
BKOB-2191||that Heather cantankerous boss back in the morning the one who is promising to shave his eyebrows if they succeed
BKOB-2192||by June our campaign to turn the corner thanks the skyrocketing internet donations our financial performance continue to far outstrip our projections allowing us to go up early on Iowa TV
BKOB-2193||school out for the summer Michelle my girls were able to join me more off and on the road
BKOB-2194||rumbling across Iowa in an RV the sound of their chatter in the background as I make calls thing Reggie and Marvin take on Malia and Sasha and Marathon games of Uno
BKOB-2195||feeling the general weight of one daughter are another sleeping against me on an afternoon delight
BKOB-2196||and always be obligatory ice cream stops all of it filled me with a joy that carried over into my public appearances
BKOB-2197||the nature of those appearances changed as well
BKOB-2198||the initial novelty of my candidacy wore off I found myself speaking the more manageable crowd a few hundred rather than thousands
BKOB-2199||just gave me the chance once again to meet people one-on-one and listen to their stories
BKOB-2200||military spouses describe the day-to-day struggles of running a household and fighting off the terror possibly hearing bad news from the front
BKOB-2201||Farmers explain the pressures that led them to surrender their independence to Big agribusiness concerns
BKOB-2202||laid off workers talk me through the Myriad ways that existing job training programs that failed
BKOB-2203||small business owners detail the sacrifices they've made to pay for their employees health insurance until just one employee fell sick and everyone premium became unaffordable including their own
BKOB-2204||inform Bybee stories by stump speech became less abstract of matter of the head and more matter of the heart
BKOB-2205||people heard their own wife reflected in these stories learning that they were not alone in their hearts
BKOB-2206||but that knowledge or more of them signed up to volunteer on my behalf
BKOB-2207||campaigning on this more retail humanscale also offer the opportunity for chance encounters that made the campaign come alive
BKOB-2208||that's what happened when I visit Greenwood South Carolina one day in June
BKOB-2209||the most of my time was spent in Iowa I was also paying regular visits to other states like New Hampshire Nevada and South Carolina primaries and caucuses would follow in quick succession
BKOB-2210||the trip to Greenwood was the result of a rash promise I made to an influential legislator who'd offered endorse me but only if I visited her hometown
BKOB-2211||it turned out my brother was poorly time coming during an especially rough week amid bad poll numbers that stories in the papers bad moods and bad sleep
BKOB-2212||it didn't help the Greenwood was more than an hour from the nearest major airport
BKOB-2213||we're driving through torrential rain and when I finally arrived at the municipal building where the event was supposed to be held I found only
BKOB-2214||people are so gathered inside all of them as damp as I was from the store
BKOB-2215||a wasted day I thought to myself mentally taking off all the other work I could have been doing
BKOB-2216||I'm going through the motions shaking hands after you people what they did for a living quietly trying to calculate how fast I could get out of there
BKOB-2217||when suddenly I heard a piercing voice shout out
BKOB-2218||my staff and I were startled thinking maybe it was a heckler
BKOB-2219||without missing a beat the rest of the room responded in unison
BKOB-2220||ready to go again the same boys shouted once again the group was spotted ready to go
BKOB-2221||I'm sure what was happening I turned to look behind me my is landing on the source of the commotion
BKOB-2222||a middle-aged black woman dressed like she had just come from church with a colorful dress a big hat
BKOB-2223||and an ear-to-ear grin that included The Shining gold tooth
BKOB-2224||her name was Edith child's in addition to serving on the Greenwood County Council
BKOB-2225||the local NAACP chapter while also being a professional private eye
BKOB-2226||it turned out she was well-known for this particular call-and-response
BKOB-2227||she started it at Greenwoods football game 4th of July parades Community meetings or whenever the spirit have in the movie
BKOB-2228||the next few minutes either fled the room and holler fired up ready to go back and forth again and again
BKOB-2229||I was confused at first but figured it would be impolite for me not to join it
BKOB-2230||and pretty soon I start feeling kind of fired up
BKOB-2231||start to feel like I was ready to go and knows everybody at the meeting suddenly was smiling too and after the chanting was done we settled down and talk for the next hour by the community in the country and what we could do to make it better
BKOB-2232||even after I left for the rest of the day every so often someone on my staff and ask you fired up
BKOB-2233||eventually became a campaign rally cry and then I suppose was the
BKOB-2234||politics it would always give me the most pleasure
BKOB-2235||the part that couldn't be diagram the defied planning or Analytics
BKOB-2236||the way in which went Works a campaign and by extension a democracy
BKOB-2237||prove to be a course rather than a solo act
BKOB-2238||another lesson I learned from boaters they weren't interested in hearing me parrot conventional wisdom
BKOB-2239||during the first few months of campaigning I worried at least subconsciously about what Washington opinion-makers.
BKOB-2240||in the interest of being deemed sufficiently quote serious or presidential
BKOB-2241||I become stiff and self-conscious undermining the very rationale that it led me to run in the first place
BKOB-2242||but by the summer we went back to First principles and actively look for opportunities to challenge the Washington Playbook until hard truth
BKOB-2243||for teachers union Gathering not only for higher salaries and more flexibility in
BKOB-2244||but also for greater accountability
BKOB-2245||that last bit was being a deafening silence and then a smattering of Boos in the hall
BKOB-2246||at the Detroit economic Club I told Auto executive but at present I would push hard for higher fuel economy standards
BKOB-2247||opposition ardently opposed by The Big Three automakers
BKOB-2248||what group called Iowa for sensible priorities sponsored by Ben & Jerry of ice cream thing gather 10,000 signatures from people committing to caucus for a candidate who promised to cut the pentagon's defense budget
BKOB-2249||call either Ben or Jerry I don't remember which to say that although I agreed with the objective and very much wanted their support I couldn't have president be hamstrung by any pledge I've made when it came to our national security
BKOB-2250||the group eventually opted to endorse John Edwards I was starting to look different from my Democratic rivals in more ways than the obvious
BKOB-2251||bait in Late July I was shown images of feet
BKOB-2252||Castro Iranian president Mahmoud Ahmadinejad North Korean leader Kim Jong and a couple of other desk and asked if I'd be prepared to meet with any of them during my first year in office
BKOB-2253||what are the station I said yeah I'd meet with any world leader if I thought it could Advance you essentra
BKOB-2254||well you would have thought I had said the world was flat
BKOB-2255||on the debate was over at words and a bunch of the other candidate pants accusing me of being naive and trusting that I'm meeting with the American president with a privilege to be on
BKOB-2256||the Press Corps in large part seemed to agree perhaps even a few months earlier I might have gotten wobbly second-guessing my choice of words and issuing a clarifying statement afterwards
BKOB-2257||but I might like believe me now and I was convinced I was right but technically on the more General principle that America shouldn't be afraid to engage its adversaries are pushed for diplomatic solutions to conflicts
BKOB-2258||as far as I was concerned it was this disregard for diplomacy that it let Hillary in the rest that's mentioned the mainstream press to follow George W bush into war
BKOB-2259||another foreign policy argument arose just a few days later when during a speech I mentioned that if I had Osama Bin Laden in my sights within Pakistani territory and the Pakistani government was unwilling or unable to catch or kill him I would take the shot
BKOB-2260||it should've been particularly surprising anyone back in 2003 I promised my opposition to the Iraq War partly on my belief that would distract us from destroying Al-Qaeda
BKOB-2261||such blunt talk ran counter to the bush administration's public position
BKOB-2262||u.s. government maintain the door fiction that Pakistan was a reliable partner in the war against terrorism and that we never encroached on Pakistani territory in the pursuit of terrorists
BKOB-2263||my statement through Washington into a bipartisan Tippy for Joe Biden the chair of the Senate Foreign Relations Committee and Republican presidential candidate John McCain
BKOB-2264||expressing The View that I was not ready to be present
BKOB-2265||in my mind these episodes indicated the degree to which the Washington foreign policy establishment got things back
BKOB-2266||taking military action without first testing diplomatic options observing diplomatic niceties in the interest of maintaining the status quo precisely what action was called for
BKOB-2267||it also indicated the degree to which decision-makers in Washington consistently failed to level with the American people
BKOB-2268||I would never fully convinced the national pundits that I was right on these arguments
BKOB-2269||Define trend begin to show up in the polls after each of these Desta
BKOB-2270||Democratic primary voters agreed with me
BKOB-2271||having such substance of arguments felt liberated a reminder of why I was right
BKOB-2272||they helped me regain my voice is a candidate that confidence showed a few debates later had an early-morning affair at Drake University in Iowa
BKOB-2273||the moderator George Stephanopoulos with ABC quickly gave Joe Biden
BKOB-2274||explain why exactly I was not ready to be present
BKOB-2275||by the time I got my opportunity to respond five minutes later I had to listen to practically every other candidate onstage knocked me around
BKOB-2276||well you know what to prepare for this debate I wrote him a bumper cars at the state fair I said using a line acid come up with referencing my well-publicized Excursion with Malia and Sasha to the state fair earlier that week
BKOB-2277||the audience laughed and for the next hour I happily jousted with my opponents suggesting that any Democratic voter was trying to figure out who represent a real change from the failed policies of George Bush need look no further than the respective positions of those of us on stage
BKOB-2278||the first time since the debates have begun I enjoyed myself
BKOB-2279||that morning was that I had one
BKOB-2280||it was gratifying result if for no other reason to not having to endure any dour looks from the team
BKOB-2281||you killed it except slapping me on the back
BKOB-2282||I guess we'll be pushing to have all the Base today in the morning
BKOB-2283||pop joke that's not funny
BKOB-2284||I was not and am not a morning person
BKOB-2285||we piled into the car and start driving tour next stop
BKOB-2286||along the Route or supporters several rows deep could be heard shouting long after they disappeared from sight
BKOB-2288||part of the reason I received so much attention from the moderators during the Drake University debate was the release of an ABC poll showing me leading in Iowa for the first time I'll be at by just 1 percent over both Glen Edwards
BKOB-2289||race was close clearly later poles would put me right back in third place but there was no denying that our Iowa organization was having an impact especially among younger voters
BKOB-2290||you could feel it in the crowds in their spies their energy and most important the number supporter cards and volunteer sign-ups were collecting at every stop
BKOB-2291||we must have six months to go before the caucus or strength was only built
BKOB-2292||unfortunately none of our progress showed up a national poll
BKOB-2293||are focused on Iowa and extent New Hampshire met we made minimal TV buys an appearance is elsewhere and by September we remained around 20 points behind Hillary
BKOB-2294||what is best to educate prices to why National polls were meaningless of this early stage but to no avail
BKOB-2295||increasingly I find myself feeling anxious phone calls from supporters around the country many offering policy advice advertising suggestion complaints that we've neglected this or that interest group and general questions about our confidence
BKOB-2296||two things finally flipped a narrative the first one not of our making
BKOB-2297||at a late October debate in Philadelphia Hillary whose performances until then had been nearly Flawless got tangled up unwilling to provide a straight answer on the issue of whether undocumented workers should be allowed driver's licenses
BKOB-2298||I got at least you've been coached to Hatcher respond since it was an issue that divided the Democratic base
BKOB-2299||reference to straddle the fence only fed the already prevalent impression that she was a garden-variety Washington politician
BKOB-2300||sharpening the contrast we've been hoping to make and then there was what happened at the Iowa Jefferson Jackson dinner on November 10th which was of our making
BKOB-2301||traditionally vajayjay better signal the final Sprint Secaucus Bay and offer the kind of barometric reading of where the race stood with each candidate delivering a ten minute speech without notes before an arena of 8,000 potential caucus doors as well as the national media
BKOB-2302||I thought you was a key Pastor both our messages appeal and our organizational promise going into the final few weeks
BKOB-2303||we put everything we had into a successful showing plenty of boxes to bring and supporters from all 99 counties across the state and dwarfing turnout from the other campaign
BKOB-2304||John Legend gave a short pre-dinner concert on our behalf for more
BKOB-2306||speeches self 12-day Force to that point in my political career I had always insisted on writing the bulk of any important speech myself
BKOB-2307||campaigning non-stop if I was there was no way I'd have time to write the JG dinner remarks on my own
BKOB-2308||I do trust Pass Oregon from axon plus the producer draft effectively summarize my case for the nomination
BKOB-2309||and fans delivered in that critical moment of our campaign with only modest input for me
BKOB-2310||this guy just a few years out of college had produced a great speech
BKOB-2311||Wanda did more than show the distinction between me and my right between Democrats and Republicans
BKOB-2312||outline the challenges we faced as a nation
BKOB-2313||from war to climate change to the affordability of healthcare and the need for new and clear leadership
BKOB-2314||noting that the party had historically been strongest wood leaders who led not by-polls but my principal
BKOB-2315||bye-bye calculation but by conviction
BKOB-2316||it was true the moment true my aspirations for getting into politics and true I hoped to the aspirations of the country
BKOB-2317||I memorize the speech over several late nights after we were done campaigning
BKOB-2318||and by the time I finish delivering it as luck would have it the last candidate to speak
BKOB-2319||I was as certain of its effect as I've been after my breast to the Democratic National Convention three-and-a-half years earlier
BKOB-2320||Looking Back the Night of the j.j. dinner was when I became convinced we would win Iowa
BKOB-2321||and by extension the nomination not necessarily because I was most polished candidate but because we have the right message for the time and headed tracted young people would forget just how
BKOB-2322||control themselves behind the cost
BKOB-2323||I think we won Iowa tonight match would organize the entire evening and was generally a basket of nerves he suffered from insomnia shingles and hair loss through much of the campaign
BKOB-2324||ran to the bathroom to throw up for at least the second time that day
BKOB-2325||Emily was similarly bullish although you couldn't tell
BKOB-2326||after I was finished an ecstatic Bowery ran into Emily and asked what she thought
BKOB-2327||there's great Emily said you don't look very excited
BKOB-2328||this is my excited face McLendon campaign apparently felt the shifting time
BKOB-2329||not to that point Hillary and her team had largely avoided engaging our campaign directly content to stay above The Fray and nurse their sizable lead in National polls
BKOB-2330||but over the next several weeks they changed tack deciding to go after us hard
BKOB-2331||is mostly standard-issue stuff raising questions about my lack of experience and ability
BKOB-2332||check on Republicans in Washington unfortunately for them though the two lines of attack that attracted the most attention backfired badly
BKOB-2333||the first grew out of a standard line in my stump speech in which I said I was running for president not because was owed to me or because I want to be present on my life because the times called for something new
BKOB-2334||well the Queen Camp issued a memo fighting a press clip in which one of my teachers in indonesi Plan diet written essay in kindergarten about wanting to be present
BKOB-2335||prove it seemed that my perfect idealism was merely a disguise for a ruthless ambition
BKOB-2336||I heard about this I laughed like the idea anyone outside my family remembered anything I said or did almost fourty years earlier was a bit far-fetched
BKOB-2337||not mentioned this coffee is squaring my apparent useful plan for world domination with middling High School grades and drug consumption obscure stent as a community organizer and associations with all time
BKOB-2339||but in December 2007 at least the clintons opposition Research into what I called my kindergarten files was viewed as a sign of panic and widely pan
BKOB-2340||what's the music was interviewing which Billy Shaheen the co-chair of Clinton campaign in New Hampshire suggested to a reporter that myself is closed prior drug use would prove fatal in a matchup against the Republican nominee
BKOB-2341||I didn't consider the general question of my youthful indiscretions out-of-bounds it Shaheem when a bit further and find perhaps I dealt drugs as well
BKOB-2342||the interview stuff up here in Shaheen quickly resign from his post
BKOB-2343||all this happened just ahead of her final debate in Iowa
BKOB-2344||that morning motelr and I were in Washington for a senate
BKOB-2345||my team and I got to the airport for the flight to Des Moines Hillary Charter plane turned out to be parked right next door
BKOB-2346||for takeoff abedini Hillary's aide found Reggie and let him know that the senator was hoping to speak to me
BKOB-2347||I'm at Hillary on the tarmac Reggie and Uma hovering a few Paces away
BKOB-2348||Hillary apologize for Shaheem I thanked her and then suggested we both do a better job of raining in our surrogate
BKOB-2349||epistolary got agitated for boys sharpening as she claimed that my team was routinely engaging in unfair attacks Distortion and underhanded tactics
BKOB-2350||exploring the temperature were unsuccessful and the conversation ended abruptly with her still visibly angry as she boarded her plane
BKOB-2351||on the flight to Des Moines I try to appreciate the frustrations Hillary must have been feeling
BKOB-2352||a woman of enormous intelligent she had toiled sacrificed indoor public attacks and humiliations all in service of her husband's career but also raising a wonderful daughter
BKOB-2353||out of the White House should carve a new political identity positioning herself with skill and tenacity to become the prohibitive favorite to win the presidency
BKOB-2354||is a candidate youth performing almost flawlessly
BKOB-2355||checking every box when he most debates raising scads of money
BKOB-2356||and now to find yourself suddenly in a close contest with a man 14 years younger
BKOB-2357||handpay the same dudes didn't carry the same Battle Stars and who seem to be getting every break and every benefit of the doubt
BKOB-2358||honestly who wouldn't be aggravated moreover Hillary wasn't entirely wrong about my team's willingness to give as good as a guy
BKOB-2359||compared to other modern presidential campaign we really were different consistently upsizing a positive message highlighting what I was for rather than what I was against
BKOB-2360||I believe starts phone from top to bottom
BKOB-2361||more than once I kill TV spots I felt were unfair or too far
BKOB-2362||film sometimes we fell short of our high-minded rhetoric
BKOB-2363||in fact the angriest I ever got during the campaign involves a leaked memo drafted by a research team back in June criticizing Hillary Outsourcing of jobs to India
BKOB-2364||and with the snarky title quote Hillary Clinton D Punjab
BKOB-2365||MyTeam insisted the memo was never meant for public consumption but I did not care
BKOB-2366||it's shoddy argument and nativist own had me ripshit 4 days
BKOB-2367||in the end I don't think it was any specific action on our part that caused the dust-up with Hillary on the tarmac
BKOB-2368||rather was the general fact of my challenge the intensifying heat of our rivalry
BKOB-2369||six other candidates still in the race for the poles were beginning to clarify where we were headed
BKOB-2370||killer in me battling each other until the end
BKOB-2371||it was a dynamic we'd live with day and night weekends and holidays for many months to come
BKOB-2372||team spanking us like miniature Army eats Stafford fully indoctrinated Into the Fire
BKOB-2373||it was part of the brutal nature of modern politics I was discovered
BKOB-2374||the difficulty of competing in a game where there were no clearly defined rules a game in which your opponents are not merely trying to put a ball through a basket or push it across the goal line
BKOB-2375||but are instead trying to convince the broad public at least implicitly more often explicitly that it matters of judgment intelligence values and character
BKOB-2376||they are more worthy than you you might tell yourself it's not person
BKOB-2377||but that's not how it feels not to you and certainly not to your family your staff for your supporters
BKOB-2378||caterpillar every slight and it reinstalled real or perceived
BKOB-2379||the longer the campaign goes on the tide of the contest the higher the stakes the easier it is to justify
BKOB-2380||Hardball tactics until those basic human responses that normally Governor daily life honesty empathy courtesy patients Goodwill
BKOB-2381||feel like weakness when extended to the other side
BKOB-2382||I can't say all this was on my mind by the time I walked into the debate the evening after the tarmac exit
BKOB-2383||mostly I read Hillary their attention as a sign that we are pulling head that the momentum was truly are
BKOB-2384||during the debate the moderator asked why if I was still insisting on the need for change in America approach to foreign policy that I have so many former Clinton administration officials advising
BKOB-2385||I want to hear that resetting the microphone
BKOB-2386||ipaws letting the truck has died down well Hillary I'm looking forward to you advising me as well
BKOB-2387||it was a good night for the team with a month left before the caucuses Demoine register poll now showed me with a three-point lead over Hillary
